,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
231,1033,Baseline,2,111,Low Prob,2,1,3,0.5420673,3,0.2,Correct,231,1,-0.612365116,1.844789383,0
232,1033,Baseline,2,112,High Prob,1,3,4,0.3674486,4,0.6,Correct,232,1,-1.001171834,2.721469071,0
233,1033,Baseline,2,113,High Prob,3,4,2,0.4694315,2,0.25,Correct,233,1,-0.756232891,2.130236254,0
234,1033,Baseline,2,114,High Prob,4,2,3,0.4074864,4,0.25,Wrong,234,0,-0.897747721,2.454069633,0
235,1033,Baseline,2,115,High Prob,2,3,1,0.4822345,1,0.5,Correct,235,1,-0.729324769,2.073679921,1
236,1033,Baseline,2,116,High Prob,3,1,2,0.4056864,2,0.6,Correct,236,1,-0.902174832,2.464958155,0
237,1033,Baseline,2,117,Low Prob,1,2,4,0.560375,4,0.5,Correct,237,1,-0.579149077,1.784519295,0
238,1033,Baseline,2,118,High Prob,2,4,1,0.565098,1,0.5,Correct,238,1,-0.570756112,1.769604564,0
239,1033,Baseline,2,119,High Prob,4,1,3,0.3271805,3,0.55,Correct,239,1,-1.117243273,3.056416871,0
240,1033,Baseline,2,120,High Prob,1,3,4,0.4212088,4,0.5,Correct,240,1,-0.864626606,2.374119439,0
241,1033,Baseline,3,1,Low Prob,2,3,4,0.3040522,4,0.55,Correct,241,1,-1.190555882,3.288908944,0
242,1033,Baseline,3,2,High Prob,3,4,2,0.4547408,2,0.3,Correct,242,1,-0.788027693,2.199054934,0
243,1033,Baseline,3,3,High Prob,4,2,3,0.4254247,3,0.25,Correct,243,1,-0.854667315,2.350592243,0
244,1033,Baseline,3,4,Low Prob,2,3,4,0.2994435,4,0.3,Correct,244,1,-1.205829527,3.339528158,0
245,1033,Baseline,3,5,Low Prob,3,4,1,0.3421399,1,0.2,Correct,245,1,-1.072535561,2.922781003,0
246,1033,Baseline,3,6,High Prob,4,1,3,0.2655293,3,0.35,Correct,246,1,-1.326030087,3.766062728,0
247,1033,Baseline,3,7,High Prob,1,3,4,0.2996226,4,0.45,Correct,247,1,-1.205231596,3.337531949,0
248,1033,Baseline,3,8,High Prob,3,4,2,0.2623488,2,0.6,Correct,248,1,-1.338080363,3.81171936,0
249,1033,Baseline,3,9,High Prob,4,2,3,0.3630542,3,0.4,Correct,249,1,-1.013203145,2.754409672,0
250,1033,Baseline,3,10,High Prob,2,3,1,0.2977719,1,0.45,Correct,250,1,-1.211427522,3.358275244,0
251,1033,Baseline,3,11,High Prob,3,1,2,0.4491256,2,0.3,Correct,251,1,-0.800452698,2.226548654,0
252,1033,Baseline,3,12,High Prob,1,2,1,0.4278709,1,0.45,Correct,252,1,-0.848933764,2.337153567,0
253,1033,Baseline,3,13,High Prob,2,1,4,0.3619161,4,0.4,Correct,253,1,-1.016342862,2.763071331,0
254,1033,Baseline,3,14,High Prob,1,4,3,0.2906935,3,0.6,Correct,254,1,-1.235485831,3.440049399,0
255,1033,Baseline,3,15,High Prob,4,3,2,0.4200306,2,0.45,Correct,255,1,-0.867427713,2.380778924,0
256,1033,Baseline,3,16,High Prob,3,2,4,0.4740969,4,0.2,Correct,256,1,-0.746343548,2.109273442,0
257,1033,Baseline,3,17,High Prob,2,4,1,0.3201214,1,0.55,Correct,257,1,-1.13905498,3.123814903,0
258,1033,Baseline,3,18,High Prob,4,1,3,0.3841882,3,0.45,Correct,258,1,-0.956622742,2.602890979,0
259,1033,Baseline,3,19,Low Prob,1,3,2,0.4475547,2,0.4,Correct,259,1,-0.803956514,2.234363755,0
260,1033,Baseline,3,20,High Prob,3,2,4,0.4369398,4,0.2,Correct,260,1,-0.827959851,2.288644797,0
261,1033,Baseline,3,21,High Prob,2,4,1,0.63232,1,0.25,Correct,261,1,-0.458359684,1.581477733,0
262,1033,Baseline,3,22,High Prob,4,1,3,0.3577448,3,0.2,Correct,262,1,-1.027935396,2.795288709,0
263,1033,Baseline,3,23,High Prob,1,3,4,0.3624104,4,0.3,Correct,263,1,-1.014978008,2.759302713,0
264,1033,Baseline,3,24,High Prob,3,4,2,0.42313,2,0.5,Correct,264,1,-0.860075819,2.363339872,0
265,1033,Baseline,3,25,High Prob,4,2,3,NA,3,0.3,Correct,265,1,NA,NA,0
266,1033,Baseline,3,26,High Prob,2,3,1,0.3085841,1,0.6,Correct,266,1,-1.175760863,3.240607666,0
267,1033,Baseline,3,27,High Prob,3,1,2,0.5592899,2,0.2,Correct,267,1,-0.581087336,1.78798151,0
268,1033,Baseline,3,28,High Prob,1,2,1,0.4800248,1,0.6,Correct,268,1,-0.73391751,2.0832257,0
269,1033,Baseline,3,29,High Prob,2,1,4,0.3100958,3,0.55,Wrong,269,0,-1.170873997,3.224809881,0
270,1033,Baseline,3,30,High Prob,1,4,3,0.4328214,3,0.6,Correct,270,1,-0.837430107,2.310421804,1
271,1033,Baseline,3,31,High Prob,4,3,2,0.5122038,2,0.35,Correct,271,1,-0.669032686,1.952347874,0
272,1033,Baseline,3,32,High Prob,3,2,4,0.3249487,4,0.55,Correct,272,1,-1.124087955,3.077408834,0
273,1033,Baseline,3,33,High Prob,2,4,1,0.4949729,1,0.2,Correct,273,1,-0.703252265,2.020312627,0
274,1033,Baseline,3,34,High Prob,4,1,3,0.2803598,3,0.45,Correct,274,1,-1.271681501,3.566845175,0
275,1033,Baseline,3,35,High Prob,1,3,4,0.3124161,4,0.5,Correct,275,1,-1.163419326,3.200859367,0
276,1033,Baseline,3,36,High Prob,3,4,2,0.2431477,2,0.6,Correct,276,1,-1.414086201,4.112726544,0
277,1033,Baseline,3,37,High Prob,4,2,3,0.4445007,3,0.3,Correct,277,1,-0.810803649,2.249715242,0
278,1033,Baseline,3,38,Low Prob,2,3,4,0.4078988,4,0.45,Correct,278,1,-0.896736175,2.451588482,0
279,1033,Baseline,3,39,High Prob,3,4,2,0.3026282,2,0.6,Correct,279,1,-1.19525029,3.30438472,0
280,1033,Baseline,3,40,High Prob,4,2,3,0.4473258,3,0.45,Correct,280,1,-0.804468091,2.235507096,0
281,1033,Baseline,3,41,High Prob,2,3,1,0.5647465,1,0.6,Correct,281,1,-0.571378321,1.770705972,0
282,1033,Baseline,3,42,High Prob,3,1,2,0.3428186,3,0.55,Wrong,282,0,-1.070553835,2.916994585,0
283,1033,Baseline,3,43,Low Prob,1,2,4,0.5501985,4,0.45,Correct,283,1,-0.597476157,1.817525857,1
284,1033,Baseline,3,44,High Prob,2,4,1,0.2949531,1,0.6,Correct,284,1,-1.220938918,3.39036952,0
285,1033,Baseline,3,45,High Prob,4,1,3,0.460317,3,0.35,Correct,285,1,-0.775839896,2.172415966,0
286,1033,Baseline,3,46,High Prob,1,3,4,0.4690463,4,0.5,Correct,286,1,-0.757053795,2.131985691,0
287,1033,Baseline,3,47,Low Prob,3,4,1,0.461119,1,0.5,Correct,287,1,-0.774099135,2.168637597,0
288,1033,Baseline,3,48,High Prob,4,1,3,0.4618203,3,0.3,Correct,288,1,-0.772579425,2.165344399,0
289,1033,Baseline,3,49,High Prob,1,3,4,0.460503,4,0.35,Correct,289,1,-0.775435909,2.171538513,0
290,1033,Baseline,3,50,High Prob,3,4,2,0.3392359,2,0.55,Correct,290,1,-1.081059543,2.94780122,0
291,1033,Baseline,3,51,High Prob,4,2,3,0.4466915,3,0.55,Correct,291,1,-0.805887079,2.238681506,0
292,1033,Baseline,3,52,High Prob,2,3,1,0.4840165,1,0.6,Correct,292,1,-0.725636282,2.066045269,0
293,1033,Baseline,3,53,High Prob,3,1,2,0.567464,2,0.6,Correct,293,1,-0.566577968,1.762226326,0
294,1033,Baseline,3,54,High Prob,1,2,1,0.5655062,1,0.25,Correct,294,1,-0.57003402,1.768327208,0
295,1033,Baseline,3,55,High Prob,2,1,4,NA,4,0.6,Correct,295,1,NA,NA,0
296,1033,Baseline,3,56,High Prob,1,4,3,0.3323227,3,0.35,Correct,296,1,-1.101648794,3.009123361,0
297,1033,Baseline,3,57,High Prob,4,3,2,0.5296992,2,0.3,Correct,297,1,-0.635445981,1.887863905,0
298,1033,Baseline,3,58,High Prob,3,2,4,0.5157385,4,0.2,Correct,298,1,-0.662155425,1.938967132,0
299,1033,Baseline,3,59,High Prob,2,4,1,0.4517941,1,0.25,Correct,299,1,-0.794528734,2.213397652,0
300,1033,Baseline,3,60,Low Prob,4,1,2,0.4165047,2,0.4,Correct,300,1,-0.875857533,2.400933291,0
301,1033,Baseline,3,61,High Prob,1,2,1,0.396563,1,0.45,Correct,301,1,-0.92492036,2.521667427,0
302,1033,Baseline,3,62,High Prob,2,1,4,0.5659745,4,0.55,Correct,302,1,-0.569206255,1.766864055,0
303,1033,Baseline,3,63,High Prob,1,4,3,0.3260377,3,0.6,Correct,303,1,-1.12074226,3.067129967,0
304,1033,Baseline,3,64,High Prob,4,3,2,0.3200949,2,0.6,Correct,304,1,-1.139137765,3.124073517,0
305,1033,Baseline,3,65,High Prob,3,2,4,0.5221181,4,0.2,Correct,305,1,-0.649861471,1.91527549,0
306,1033,Baseline,3,66,High Prob,2,4,1,0.3321389,1,0.2,Correct,306,1,-1.102202024,3.010788559,0
307,1033,Baseline,3,67,High Prob,4,1,3,0.357537,3,0.6,Correct,307,1,-1.028516426,2.796913326,0
308,1033,Baseline,3,68,High Prob,1,3,4,0.4342691,4,0.5,Correct,308,1,-0.834090891,2.302719673,0
309,1033,Baseline,3,69,High Prob,3,4,2,0.5016296,2,0.25,Correct,309,1,-0.68989328,1.993502776,0
310,1033,Baseline,3,70,High Prob,4,2,3,NA,3,0.55,Correct,310,1,NA,NA,0
311,1033,Baseline,3,71,Low Prob,2,3,4,0.3211687,4,0.6,Correct,311,1,-1.135788749,3.113628445,0
312,1033,Baseline,3,72,High Prob,3,4,2,0.4992137,2,0.4,Correct,312,1,-0.694721018,2.003150154,0
313,1033,Baseline,3,73,High Prob,4,2,3,0.5139269,3,0.3,Correct,313,1,-0.665674242,1.94580202,0
314,1033,Baseline,3,74,High Prob,2,3,1,0.3886412,1,0.2,Correct,314,1,-0.945098726,2.573067395,0
315,1033,Baseline,3,75,High Prob,3,1,2,0.5020228,1,0.35,Wrong,315,0,-0.689109742,1.991941402,0
316,1033,Baseline,3,76,High Prob,1,2,1,0.5647343,1,0.3,Correct,316,1,-0.571399924,1.770744224,1
317,1033,Baseline,3,77,High Prob,2,1,4,0.532787,4,0.2,Correct,317,1,-0.629633559,1.876922673,0
318,1033,Baseline,3,78,High Prob,1,4,3,0.3681604,3,0.35,Correct,318,1,-0.999236566,2.716207392,0
319,1033,Baseline,3,79,High Prob,4,3,2,0.3761989,2,0.6,Correct,319,1,-0.977637286,2.658168325,0
320,1033,Baseline,3,80,High Prob,3,2,4,0.3743452,4,0.45,Correct,320,1,-0.982576913,2.671331167,0
321,1033,Baseline,3,81,Low Prob,2,4,3,0.4923481,3,0.25,Correct,321,1,-0.708569292,2.031083292,0
322,1033,Baseline,3,82,Low Prob,4,3,1,0.4677239,1,0.5,Correct,322,1,-0.759877114,2.138013473,0
323,1033,Baseline,3,83,High Prob,3,1,2,0.4857673,2,0.25,Correct,323,1,-0.722025576,2.058598839,0
324,1033,Baseline,3,84,High Prob,1,2,1,0.3971599,1,0.5,Correct,324,1,-0.923416309,2.51787756,0
325,1033,Baseline,3,85,High Prob,2,1,4,0.5325703,4,0.2,Correct,325,1,-0.630040371,1.877686382,0
326,1033,Baseline,3,86,Low Prob,1,4,2,0.3519359,2,0.35,Correct,326,1,-1.044306222,2.841426521,0
327,1033,Baseline,3,87,High Prob,4,2,3,0.4166408,3,0.4,Correct,327,1,-0.875530819,2.400149001,0
328,1033,Baseline,3,88,High Prob,2,3,1,0.3327121,1,0.45,Correct,328,1,-1.100477728,3.00560154,0
329,1033,Baseline,3,89,High Prob,3,1,2,0.5041104,2,0.55,Correct,329,1,-0.684959987,1.983692461,0
330,1033,Baseline,3,90,High Prob,1,2,1,0.3828359,1,0.5,Correct,330,1,-0.960148841,2.61208523,0
331,1033,Baseline,3,91,High Prob,2,1,4,0.5142083,4,0.3,Correct,331,1,-0.665126843,1.944737181,0
332,1033,Baseline,3,92,High Prob,1,4,3,0.3429611,3,0.55,Correct,332,1,-1.070138249,2.915782577,0
333,1033,Baseline,3,93,High Prob,4,3,2,0.5122868,2,0.2,Correct,333,1,-0.668870655,1.952031557,0
334,1033,Baseline,3,94,High Prob,3,2,4,0.4490315,4,0.25,Correct,334,1,-0.800662238,2.227015254,0
335,1033,Baseline,3,95,High Prob,2,4,1,0.3717284,1,0.25,Correct,335,1,-0.989591799,2.690136132,0
336,1033,Baseline,3,96,High Prob,4,1,3,0.433785,3,0.45,Correct,336,1,-0.835206259,2.305289487,0
337,1033,Baseline,3,97,High Prob,1,3,4,NA,4,0.5,Correct,337,1,NA,NA,0
338,1033,Baseline,3,98,High Prob,3,4,2,0.4159207,2,0.4,Correct,338,1,-0.877260662,2.404304474,0
339,1033,Baseline,3,99,High Prob,4,2,3,0.5459605,3,0.3,Correct,339,1,-0.60520865,1.83163434,0
340,1033,Baseline,3,100,Low Prob,2,3,4,0.4753918,4,0.4,Correct,340,1,-0.743615973,2.103528079,0
341,1033,Baseline,3,101,Low Prob,3,4,1,0.40341,1,0.5,Correct,341,1,-0.907801864,2.478867653,0
342,1033,Baseline,3,102,High Prob,4,1,3,0.3760783,3,0.25,Correct,342,1,-0.977957913,2.659020741,0
343,1033,Baseline,3,103,Low Prob,1,3,2,0.5761443,2,0.6,Correct,343,1,-0.551397129,1.735676288,0
344,1033,Baseline,3,104,Low Prob,3,2,3,0.5121896,3,0.2,Correct,344,1,-0.66906041,1.952402001,0
345,1033,Baseline,3,105,High Prob,2,3,1,0.6389161,1,0.3,Correct,345,1,-0.447982132,1.565150729,0
346,1033,Baseline,3,106,High Prob,3,1,2,0.5343034,2,0.35,Correct,346,1,-0.626791437,1.871595801,0
347,1033,Baseline,3,107,High Prob,1,2,1,0.4137033,1,0.45,Correct,347,1,-0.882606229,2.417191258,0
348,1033,Baseline,3,108,High Prob,2,1,4,0.5324123,4,0.2,Correct,348,1,-0.63033709,1.878243609,0
349,1033,Baseline,3,109,High Prob,1,4,3,0.4399294,3,0.55,Correct,349,1,-0.821141019,2.273092001,0
350,1033,Baseline,3,110,High Prob,4,3,2,0.4392334,2,0.35,Correct,350,1,-0.822724344,2.276693894,0
351,1033,Baseline,3,111,High Prob,3,2,4,0.3506387,4,0.55,Correct,351,1,-1.04799893,2.851938477,0
352,1033,Baseline,3,112,Low Prob,2,4,3,0.4813665,3,0.35,Correct,352,1,-0.731126345,2.077419181,0
353,1033,Baseline,3,113,High Prob,4,3,2,0.5487317,3,0.6,Wrong,353,0,-0.600145664,1.822384236,0
354,1033,Baseline,3,114,Low Prob,3,2,3,NA,3,0.25,Correct,354,1,NA,NA,1
355,1033,Baseline,3,115,High Prob,2,3,1,0.634248,1,0.25,Correct,355,1,-0.455315234,1.576670325,0
356,1033,Baseline,3,116,High Prob,3,1,2,0.5036106,2,0.6,Correct,356,1,-0.685951929,1.985661144,0
357,1033,Baseline,3,117,Low Prob,1,2,4,0.432388,4,0.45,Correct,357,1,-0.838431946,2.312737634,0
358,1033,Baseline,3,118,Low Prob,2,4,3,0.3957247,3,0.45,Correct,358,1,-0.927036512,2.527009307,0
359,1033,Baseline,3,119,High Prob,4,3,2,0.3611205,2,0.45,Correct,359,1,-1.018543581,2.769158771,0
360,1033,Baseline,3,120,High Prob,3,2,4,0.5518176,4,0.45,Correct,360,1,-0.594537722,1.812193015,0
361,1033,Baseline,4,1,High Prob,2,3,1,0.4487409,1,0.6,Correct,361,1,-0.801309618,2.228457446,0
362,1033,Baseline,4,2,Low Prob,3,1,4,0.3854369,4,0.3,Correct,362,1,-0.953377783,2.594458393,0
363,1033,Baseline,4,3,High Prob,1,4,3,0.2888162,3,0.4,Correct,363,1,-1.241964779,3.462409657,0
364,1033,Baseline,4,4,High Prob,4,3,2,0.3781958,2,0.25,Correct,364,1,-0.972343228,2.644133013,0
365,1033,Baseline,4,5,High Prob,3,2,4,0.3162324,4,0.35,Correct,365,1,-1.151277893,3.162231321,0
366,1033,Baseline,4,6,High Prob,2,4,1,0.2782719,1,0.6,Correct,366,1,-1.279156586,3.593607547,0
367,1033,Baseline,4,7,High Prob,4,1,3,0.558335,3,0.3,Correct,367,1,-0.582796138,1.79103943,0
368,1033,Baseline,4,8,High Prob,1,3,4,0.3650803,4,0.25,Correct,368,1,-1.00763795,2.73912342,0
369,1033,Baseline,4,9,High Prob,3,4,2,0.4450879,2,0.4,Correct,369,1,-0.809483488,2.246747216,0
370,1033,Baseline,4,10,High Prob,4,2,3,0.4724864,3,0.45,Correct,370,1,-0.749746316,2.116463035,0
371,1033,Baseline,4,11,High Prob,2,3,1,0.3045404,1,0.5,Correct,371,1,-1.188951524,3.283636588,0
372,1033,Baseline,4,12,High Prob,3,1,2,0.6312476,2,0.3,Correct,372,1,-0.4600571,1.584164439,0
373,1033,Baseline,4,13,High Prob,1,2,1,0.421299,1,0.2,Correct,373,1,-0.864412484,2.373611141,0
374,1033,Baseline,4,14,Low Prob,2,1,3,0.5753757,3,0.5,Correct,374,1,-0.55273206,1.737994844,0
375,1033,Baseline,4,15,High Prob,1,3,4,0.2454257,4,0.45,Correct,375,1,-1.404761025,4.074552909,0
376,1033,Baseline,4,16,High Prob,3,4,2,0.5768672,2,0.25,Correct,376,1,-0.550143195,1.733501229,0
377,1033,Baseline,4,17,High Prob,4,2,3,0.5408939,3,0.3,Correct,377,1,-0.614532138,1.848791417,0
378,1033,Baseline,4,18,Low Prob,2,3,4,0.4042577,4,0.45,Correct,378,1,-0.905702733,2.473669642,0
379,1033,Baseline,4,19,High Prob,3,4,2,0.4489645,2,0.45,Correct,379,1,-0.800811459,2.227347597,0
380,1033,Baseline,4,20,High Prob,4,2,3,0.4676774,3,0.25,Correct,380,1,-0.759976537,2.138226051,0
381,1033,Baseline,4,21,High Prob,2,3,1,0.3277467,1,0.6,Correct,381,1,-1.115514225,3.051136747,0
382,1033,Baseline,4,22,High Prob,3,1,2,0.621807,2,0.3,Correct,382,1,-0.475125524,1.608216054,0
383,1033,Baseline,4,23,High Prob,1,2,1,0.5018529,1,0.35,Correct,383,1,-0.68944823,1.992615764,0
384,1033,Baseline,4,24,High Prob,2,1,4,0.4606084,4,0.5,Correct,384,1,-0.775207055,2.171041605,0
385,1033,Baseline,4,25,High Prob,1,4,3,0.4012975,3,0.2,Correct,385,1,-0.913052231,2.491916845,0
386,1033,Baseline,4,26,High Prob,4,3,2,0.4780407,2,0.45,Correct,386,1,-0.738059404,2.091872094,0
387,1033,Baseline,4,27,High Prob,3,2,4,0.4820587,4,0.2,Correct,387,1,-0.729689388,2.074436163,0
388,1033,Baseline,4,28,High Prob,2,4,1,0.3815022,1,0.4,Correct,388,1,-0.963638662,2.621216863,0
389,1033,Baseline,4,29,High Prob,4,1,3,0.4587915,3,0.45,Correct,389,1,-0.77915942,2.179639335,0
390,1033,Baseline,4,30,High Prob,1,3,4,0.421565,4,0.45,Correct,390,1,-0.863781302,2.372113434,0
391,1033,Baseline,4,31,High Prob,3,4,2,0.3637073,2,0.6,Correct,391,1,-1.011405856,2.749463648,0
392,1033,Baseline,4,32,High Prob,4,2,3,0.4523831,3,0.6,Correct,392,1,-0.793225892,2.210515822,0
393,1033,Baseline,4,33,High Prob,2,3,1,0.3970717,1,0.5,Correct,393,1,-0.92363841,2.518436847,0
394,1033,Baseline,4,34,High Prob,3,1,2,0.4084825,2,0.5,Correct,394,1,-0.895306205,2.448085291,0
395,1033,Baseline,4,35,High Prob,1,2,1,0.4871896,1,0.4,Correct,395,1,-0.719101909,2.052588972,0
396,1033,Baseline,4,36,High Prob,2,1,4,0.4845855,4,0.35,Correct,396,1,-0.724461393,2.06361932,0
397,1033,Baseline,4,37,High Prob,1,4,3,0.3539615,3,0.35,Correct,397,1,-1.038567129,2.825166014,0
398,1033,Baseline,4,38,Low Prob,4,3,1,0.30668,1,0.4,Correct,398,1,-1.18195042,3.260727794,0
399,1033,Baseline,4,39,High Prob,3,1,2,0.3973703,2,0.2,Correct,399,1,-0.922886687,2.516544392,0
400,1033,Baseline,4,40,High Prob,1,2,1,0.5327103,1,0.2,Correct,400,1,-0.62977753,1.877192913,0
401,1033,Baseline,4,41,High Prob,2,1,4,0.3901737,4,0.6,Correct,401,1,-0.941163254,2.562961061,0
402,1033,Baseline,4,42,High Prob,1,4,3,0.2735205,3,0.5,Correct,402,1,-1.296378706,3.656033094,0
403,1033,Baseline,4,43,High Prob,4,3,2,0.5596018,2,0.55,Correct,403,1,-0.58052982,1.78698496,0
404,1033,Baseline,4,44,High Prob,3,2,4,0.4383328,4,0.45,Correct,404,1,-0.82477684,2.281371597,0
405,1033,Baseline,4,45,High Prob,2,4,1,0.3537107,1,0.45,Correct,405,1,-1.039275932,2.827169209,0
406,1033,Baseline,4,46,High Prob,4,1,3,0.3324995,3,0.55,Correct,406,1,-1.101116923,3.00752332,0
407,1033,Baseline,4,47,High Prob,1,3,4,0.493818,4,0.4,Correct,407,1,-0.705588251,2.025037564,0
408,1033,Baseline,4,48,High Prob,3,4,2,0.4972388,2,0.2,Correct,408,1,-0.698684885,2.011106133,0
409,1033,Baseline,4,49,High Prob,4,2,3,0.4645951,3,0.3,Correct,409,1,-0.766589005,2.152411853,0
410,1033,Baseline,4,50,High Prob,2,3,1,0.28265,1,0.45,Correct,410,1,-1.263545896,3.537944454,0
411,1033,Baseline,4,51,High Prob,3,1,2,0.5540375,2,0.5,Correct,411,1,-0.590522905,1.804931977,0
412,1033,Baseline,4,52,High Prob,1,2,1,0.6162785,1,0.25,Correct,412,1,-0.484056307,1.62264301,0
413,1033,Baseline,4,53,High Prob,2,1,4,0.3148118,4,0.5,Correct,413,1,-1.155780279,3.176501008,0
414,1033,Baseline,4,54,High Prob,1,4,3,0.3208955,3,0.3,Correct,414,1,-1.136639754,3.116279287,0
415,1033,Baseline,4,55,High Prob,4,3,2,0.3469769,2,0.6,Correct,415,1,-1.058497072,2.882036239,0
416,1033,Baseline,4,56,High Prob,3,2,4,NA,4,0.4,Correct,416,1,NA,NA,0
417,1033,Baseline,4,57,High Prob,2,4,1,0.3263784,1,0.55,Correct,417,1,-1.119697835,3.06392825,0
418,1033,Baseline,4,58,High Prob,4,1,3,0.4524329,3,0.5,Correct,418,1,-0.793115814,2.210272507,0
419,1033,Baseline,4,59,High Prob,1,3,4,0.537102,4,0.2,Correct,419,1,-0.621567258,1.861843747,0
420,1033,Baseline,4,60,High Prob,3,4,2,0.3185171,2,0.5,Correct,420,1,-1.144079116,3.139548866,0
421,1033,Baseline,4,61,High Prob,4,2,3,0.4825519,3,0.35,Correct,421,1,-0.728666799,2.072315952,0
422,1033,Baseline,4,62,High Prob,2,3,1,0.2619627,1,0.6,Correct,422,1,-1.339553152,3.817337354,0
423,1033,Baseline,4,63,High Prob,3,1,2,0.6106461,2,0.2,Correct,423,1,-0.493237702,1.637609738,0
424,1033,Baseline,4,64,Low Prob,1,2,4,0.321392,4,0.6,Correct,424,1,-1.135093717,3.111465127,0
425,1033,Baseline,4,65,High Prob,2,4,1,0.4654315,1,0.45,Correct,425,1,-0.764790347,2.148543878,0
426,1033,Baseline,4,66,High Prob,4,1,3,0.4934956,3,0.4,Correct,426,1,-0.706241336,2.026360519,0
427,1033,Baseline,4,67,Low Prob,1,3,2,0.5609059,2,0.6,Correct,427,1,-0.578202124,1.782830239,0
428,1033,Baseline,4,68,High Prob,3,2,4,0.4376221,4,0.5,Correct,428,1,-0.826399526,2.285076553,0
429,1033,Baseline,4,69,High Prob,2,4,1,0.3050668,1,0.45,Correct,429,1,-1.18722451,3.277970595,0
430,1033,Baseline,4,70,High Prob,4,1,3,0.4817789,3,0.45,Correct,430,1,-0.730269984,2.075640922,0
431,1033,Baseline,4,71,High Prob,1,3,4,0.4031576,4,0.25,Correct,431,1,-0.908427726,2.480419568,0
432,1033,Baseline,4,72,High Prob,3,4,2,0.3718743,2,0.35,Correct,432,1,-0.989199385,2.689080692,0
433,1033,Baseline,4,73,High Prob,4,2,3,0.4299397,4,0.55,Wrong,433,0,-0.844110313,2.325907563,0
434,1033,Baseline,4,74,High Prob,2,3,1,0.5919803,1,0.3,Correct,434,1,-0.524281922,1.689245402,1
435,1033,Baseline,4,75,High Prob,3,1,2,0.4273767,2,0.3,Correct,435,1,-0.850089453,2.33985615,0
436,1033,Baseline,4,76,High Prob,1,2,1,0.3934289,1,0.4,Correct,436,1,-0.932854914,2.541755321,0
437,1033,Baseline,4,77,High Prob,2,1,4,0.4488549,4,0.2,Correct,437,1,-0.801055606,2.227891463,0
438,1033,Baseline,4,78,High Prob,1,4,3,0.3195126,3,0.35,Correct,438,1,-1.140958569,3.129767026,0
439,1033,Baseline,4,79,High Prob,4,3,2,0.5455573,2,0.4,Correct,439,1,-0.605947438,1.832988029,0
440,1033,Baseline,4,80,High Prob,3,2,4,0.5429488,4,0.3,Correct,440,1,-0.610740254,1.841794291,0
441,1033,Baseline,4,81,High Prob,2,4,1,0.462329,1,0.25,Correct,441,1,-0.77147852,2.162961873,0
442,1033,Baseline,4,82,High Prob,4,1,3,0.311065,3,0.5,Correct,442,1,-1.167753385,3.214762188,0
443,1033,Baseline,4,83,High Prob,1,3,4,0.4317647,4,0.25,Correct,443,1,-0.839874515,2.316076326,0
444,1033,Baseline,4,84,High Prob,3,4,2,0.4311616,2,0.35,Correct,444,1,-0.841272317,2.319316006,0
445,1033,Baseline,4,85,High Prob,4,2,3,0.4851811,3,0.2,Correct,445,1,-0.723233056,2.061086056,0
446,1033,Baseline,4,86,High Prob,2,3,1,0.3545654,1,0.35,Correct,446,1,-1.036862465,2.820354158,0
447,1033,Baseline,4,87,High Prob,3,1,2,0.4872903,2,0.3,Correct,447,1,-0.718895235,2.052164798,0
448,1033,Baseline,4,88,High Prob,1,2,1,0.3946921,1,0.6,Correct,448,1,-0.929649312,2.533620511,0
449,1033,Baseline,4,89,High Prob,2,1,4,0.4980494,4,0.2,Correct,449,1,-0.69705601,2.007832958,0
450,1033,Baseline,4,90,High Prob,1,4,3,0.3174429,3,0.4,Correct,450,1,-1.147457319,3.150172834,0
451,1033,Baseline,4,91,High Prob,4,3,2,0.5514874,2,0.2,Correct,451,1,-0.595136287,1.813278055,0
452,1033,Baseline,4,92,High Prob,3,2,4,NA,4,0.25,Correct,452,1,NA,NA,0
453,1033,Baseline,4,93,High Prob,2,4,1,NA,1,0.45,Correct,453,1,NA,NA,0
454,1033,Baseline,4,94,High Prob,4,1,3,NA,4,0.6,Wrong,454,0,NA,NA,0
455,1033,Baseline,4,95,High Prob,1,3,4,0.5464465,3,0.6,Wrong,455,0,-0.604318872,1.830005316,1
456,1033,Baseline,4,96,Low Prob,3,4,1,0.4958356,1,0.3,Correct,456,1,-0.701510859,2.016797503,1
457,1033,Baseline,4,97,High Prob,4,1,3,0.4052159,3,0.55,Correct,457,1,-0.903335267,2.467820241,0
458,1033,Baseline,4,98,High Prob,1,3,4,0.5879808,4,0.2,Correct,458,1,-0.531060985,1.700735806,0
459,1033,Baseline,4,99,High Prob,3,4,2,0.553262,2,0.25,Correct,459,1,-0.59192361,1.807461926,0
460,1033,Baseline,4,100,High Prob,4,2,3,0.4260454,3,0.2,Correct,460,1,-0.853209366,2.347167696,0
461,1033,Baseline,4,101,High Prob,2,3,1,0.2900503,1,0.55,Correct,461,1,-1.237700923,3.447677868,0
462,1033,Baseline,4,102,High Prob,3,1,2,0.4194214,2,0.45,Correct,462,1,-0.868879137,2.384236951,0
463,1033,Baseline,4,103,High Prob,1,2,1,0.3035056,1,0.45,Correct,463,1,-1.192355217,3.294832122,0
